agent,perturbation,episodes,success_rate,success_std,success_within_7_actions,mean_steps,mean_recovery_attempts,detection_precision,detection_recall
open_loop,blocked_path,30,0.0,0.0,0.0,4.0,0.0,,0.0
open_loop,compound_slip_block,30,0.0,0.0,0.0,4.0,0.0,,0.0
open_loop,grasp_slip,30,0.0,0.0,0.0,4.0,0.0,,0.0
open_loop,none,30,1.0,0.0,1.0,4.0,0.0,,
open_loop,object_displacement,30,0.1,0.3,0.1,4.0,0.0,,0.0
open_loop,stale_observation,30,0.13333333333333333,0.33993463423951903,0.13333333333333333,4.0,0.0,,0.0
open_loop,transient_occlusion,30,0.0,0.0,0.0,4.0,0.0,,0.0
reactive_replan,blocked_path,30,1.0,0.0,1.0,6.0,1.0,,0.0
reactive_replan,compound_slip_block,30,1.0,0.0,0.0,8.0,1.0,,0.0
reactive_replan,grasp_slip,30,1.0,0.0,0.0,8.0,1.0,,0.0
reactive_replan,none,30,1.0,0.0,1.0,4.0,0.0,,
reactive_replan,object_displacement,30,1.0,0.0,1.0,5.8,0.9,,0.0
reactive_replan,stale_observation,30,1.0,0.0,1.0,5.733333333333333,0.8666666666666667,,0.0
reactive_replan,transient_occlusion,30,1.0,0.0,1.0,6.0,1.0,,0.0
self_healing,blocked_path,30,1.0,0.0,1.0,6.0,1.0,1.0,1.0
self_healing,compound_slip_block,30,1.0,0.0,0.0,8.0,1.0,1.0,1.0
self_healing,grasp_slip,30,1.0,0.0,0.9333333333333333,7.066666666666666,1.0666666666666667,0.9666666666666667,1.0
self_healing,none,30,1.0,0.0,1.0,4.0,0.0,,
self_healing,object_displacement,30,1.0,0.0,1.0,5.8,0.9,1.0,0.9
self_healing,stale_observation,30,1.0,0.0,1.0,5.866666666666666,1.1333333333333333,0.9333333333333333,1.0
self_healing,transient_occlusion,30,1.0,0.0,1.0,6.0,1.0,1.0,1.0
self_healing_memory,blocked_path,30,1.0,0.0,1.0,6.0,1.0,1.0,1.0
self_healing_memory,compound_slip_block,30,1.0,0.0,0.0,9.033333333333333,2.033333333333333,0.4944444444444444,1.0
self_healing_memory,grasp_slip,30,1.0,0.0,0.9333333333333333,7.066666666666666,1.0666666666666667,0.9666666666666667,1.0
self_healing_memory,none,30,1.0,0.0,1.0,4.0,0.0,,
self_healing_memory,object_displacement,30,1.0,0.0,1.0,5.8,0.9,1.0,0.9
self_healing_memory,stale_observation,30,1.0,0.0,1.0,5.866666666666666,1.1333333333333333,0.9333333333333333,1.0
self_healing_memory,transient_occlusion,30,1.0,0.0,1.0,6.0,1.0,1.0,1.0
